"","Film","Year","Box.Office.Gross.Worldwide","Budget","Rotten.Tomatoes","Metacritic","Profit","Phase"
"1","Ant-Man",2015,519311965,1.3e+08,83,64,389311965,2
"2","Ant-Man and the Wasp",2018,622674139,1.62e+08,87,70,460674139,3
"3","Ant-Man and the Wasp: Quantumania",2023,476071180,388400000,46,48,87671180,5
"4","Avengers: Age of Ultron",2015,1405018048,2.5e+08,76,66,1155018048,2
"5","Avengers: Endgame",2019,2799439100,3.56e+08,94,78,2443439100,3
"6","Avengers: Infinity War",2018,2052415039,3.25e+08,85,68,1727415039,3
"7","Black Panther: Wakanda Forever",2022,859208836,2.5e+08,84,67,609208836,4
"8","Black Widow",2021,NA,2e+08,79,68,NA,4
"9","Captain America: Brave New World",2025,389159521,1.8e+08,48,42,209159521,5
"10","Captain America: Civil War",2016,1155046416,2.5e+08,91,75,905046416,3
"11","Captain America: The First Avenger",2011,370569774,1.4e+08,80,66,230569774,1
"12","Captain America: The Winter Soldier",2014,714421503,1.7e+08,90,70,544421503,2
"13","Captain Marvel",2019,1131416446,1.5e+08,79,64,981416446,3
"14","Deadpool & Wolverine",2024,1338073645,2e+08,78,56,1138073645,5
"15","Doctor Strange",2016,677796076,1.65e+08,89,72,512796076,3
"16","Doctor Strange in the Multiverse of Madness",2022,955775804,1.72e+08,74,60,783775804,4
"17","Eternals",2021,402064899,236200000,47,52,165864899,4
"18","Guardians of the Galaxy",2014,773350147,1.7e+08,92,76,603350147,2
"19","Guardians of the Galaxy Vol. 2",2017,863756051,2e+08,85,67,663756051,3
"20","Guardians of the Galaxy Vol. 3",2023,845555777,2.5e+08,82,64,595555777,5
"21","Iron Man",2008,585796247,1.4e+08,94,79,445796247,1
"22","Iron Man 2",2010,623933331,1.7e+08,72,57,453933331,1
"23","Iron Man 3",2013,1215577205,2e+08,79,62,1015577205,2
"24","Marvel's The Avengers",2012,1520538536,2.2e+08,91,69,1300538536,1
"25","Shang-Chi and the Legend of the Ten Rings",2021,432243292,1.5e+08,92,71,282243292,4
"26","Spider-Man: Far From Home",2019,1138121790,1.6e+08,90,69,978121790,3
"27","Spider-Man: Homecoming",2017,880166924,1.75e+08,92,73,705166924,3
"28","Spider-Man: No Way Home",2021,1928040905,2e+08,93,71,1728040905,4
"29","The Incredible Hulk",2008,264770996,137500000,68,61,127270996,1
"30","The Marvels",2023,206136825,3.75e+08,62,50,-168863175,5
"31","Thor",2011,449326618,1.5e+08,77,57,299326618,1
"32","Thor: Love and Thunder",2022,760928081,2.5e+08,63,57,510928081,4
"33","Thor: Ragnarok",2017,855301806,1.8e+08,93,74,675301806,3
"34","Thor: The Dark World",2013,644783140,1.5e+08,67,54,494783140,2
